calc_imps,J_data_uuid,imp0,offset0,ilayer0,imp1,offset1,ilayer1,i,j,Z_i,Z_j,J,D,Dx,Dy,Dz,rx,ry,rz,r,mom1,mom2,tot_mom,s00,p00,d00,f00,s01,p01,d01,f01,group1,period1,en1,group2,period2,en2
33,2,e2af7783-d54f-4110-9e38-18d34526e3c4,23,0,3,21,1,3,0,1,23,21,0.0547757660013728,0.0237988031495717,0.0002789342445526,-0.0164218841953964,-0.0172228611592926,-0.41851489357247,0.0,0.0,0.41851489357247,2.647066667829,0.0033592001765412,2.650425868005541,2,0,3,0,2,0,1,0,5,4,9.062999999999999,3,4,7.042000000000001
34,2,f061a190-e8e1-4d65-a780-08655bdad7d3,23,0,3,22,1,3,0,1,23,22,6.63504160327354,0.6813422318938501,-0.1723894983301083,0.0378713342944633,-0.6580842346283214,-0.41851489357247,0.0,0.0,0.41851489357247,2.6565447453982,0.77915393779897,3.43569868319717,2,0,3,0,2,0,2,0,5,4,9.062999999999999,4,4,8.17
35,2,fdd8ed92-5b5f-424d-a524-ff9dafbd8e5b,23,0,3,25,1,3,0,1,23,25,9.068221044571173,2.7631929657252727,-0.494164071625685,-2.494457833434525,-1.0810723164363636,-0.41851489357247,0.0,0.0,0.41851489357247,2.6251636163727,4.395366078764,7.0205296951367,2,0,3,0,2,0,5,0,5,4,9.062999999999999,7,4,10.34
36,2,2226860c-6eb8-4d5b-8cc6-cb4ed98f9e05,23,0,3,28,1,3,0,1,23,28,-4.602666882049145,1.6304541006800175,-0.7560662444115324,0.25847702249279,1.421243834579059,-0.41851489357247,0.0,0.0,0.41851489357247,2.6124692667733,0.86901040850354,3.48147967527684,2,0,3,0,2,0,8,0,5,4,9.062999999999999,10,4,11.13
37,2,0d52a90d-4654-43f0-b7dd-03f530775ff5,23,0,3,30,1,3,0,1,23,30,0.0526093058145406,0.007556079378198,-0.0060338633745715,-0.0045443375050989,0.0001892748963402,-0.41851489357247,0.0,0.0,0.41851489357247,2.6230927493469,0.0076227841589311,2.630715533505831,2,0,3,0,2,0,1,0,5,4,9.062999999999999,12,4,9.395
38,2,6b2cb43d-a137-478f-93ab-224321fae078,23,0,3,39,1,3,0,1,23,39,0.020566952589293,0.008302892198618,-0.0003686448645732,-0.0058976969723845,-0.0058326057853778,-0.41851489357247,0.0,0.0,0.41851489357247,2.6473532154312,-2.0034534019775e-05,2.64733318089718,2,0,3,0,2,0,1,0,5,4,9.062999999999999,3,5,6.631
39,2,80e2d642-ad08-4392-b66e-3e96586bf5fe,23,0,3,40,1,3,0,1,23,40,0.1734854221043057,0.0575452827553811,0.0002575376355842,-0.0377451920513614,-0.0434360877470435,-0.41851489357247,0.0,0.0,0.41851489357247,2.6793111304672,0.012613155399638,2.691924285866838,2,0,3,0,2,0,2,0,5,4,9.062999999999999,4,5,7.808
40,2,e86547ab-5a70-43cf-9f51-afcb7dc1c200,23,0,3,42,1,3,0,1,23,42,12.768560447620317,2.4235956492086426,-0.2063217096203076,-1.839209467788129,-1.5647861696094207,-0.41851489357247,0.0,0.0,0.41851489357247,2.6624094427527,2.5764937989905,5.2389032417432,2,0,3,0,1,0,5,0,5,4,9.062999999999999,6,5,8.71
41,2,e80e48fa-ca71-4b07-ad81-9e9fd4211c29,23,0,3,41,1,3,0,1,23,41,11.402098475349648,1.2076010067712966,-0.3207171196246511,-0.4157510611935847,-1.0874703563091384,-0.41851489357247,0.0,0.0,0.41851489357247,2.6705288256087,1.1461533075848,3.8166821331935,2,0,3,0,1,0,4,0,5,4,9.062999999999999,5,5,8.34
42,2,6bf7eb0b-2829-4d9b-b8a8-ce96adff1594,23,0,3,29,1,3,0,1,23,29,0.294357364004672,0.082750267625177,0.0106157170617899,-0.0652298918808919,-0.0497993428521863,-0.41851489357247,0.0,0.0,0.41851489357247,2.5974413003388,-0.021317766900412,2.576123533438388,2,0,3,0,1,0,1,0,5,4,9.062999999999999,11,4,10.96
43,2,ce4fee23-feab-48b2-97ed-cb466da4c920,23,0,3,43,1,3,0,1,23,43,9.13553123214772,4.901636954512702,0.3233863312031043,-4.214254078658028,-2.482242670479605,-0.41851489357247,0.0,0.0,0.41851489357247,2.6735922557772,2.3675301218768,5.041122377654,2,0,3,0,2,0,5,0,5,4,9.062999999999999,7,5,8.94
44,2,ebc4cabe-a2b6-42f2-b0a7-f9a54fdbc2b5,23,0,3,47,1,3,0,1,23,47,0.0994591754401981,0.0275359393845742,0.0031254534697241,-0.0222959478598499,-0.0158540281137124,-0.41851489357247,0.0,0.0,0.41851489357247,2.5970931331178,-0.012411647381177,2.584681485736623,2,0,3,0,1,0,1,0,5,4,9.062999999999999,11,5,11.05
45,2,b206f7b7-1e01-4f44-8b2e-283b09d758ab,23,0,3,48,1,3,0,1,23,48,0.0128576527782802,0.0015019199070248,-0.0012793780062622,-0.0007722132593104,-0.0001504726099831,-0.41851489357247,0.0,0.0,0.41851489357247,2.6233571087469,0.0032096892677131,2.626566798014613,2,0,3,0,2,0,1,0,5,4,9.062999999999999,12,5,8.995
46,2,0d87a159-2ce2-4b58-92e7-4017f0984420,23,0,3,46,1,3,0,1,23,46,0.15797167143342,0.0578225248926554,0.0162434526421802,-0.023089036861457,-0.0504627685331798,-0.41851489357247,0.0,0.0,0.41851489357247,2.6206945346989,-0.021826171300153,2.598868363398747,2,0,3,0,0,0,1,0,5,4,9.062999999999999,10,5,9.402000000000001
47,2,2cd17182-47cb-4548-ad5a-07f380ca57b1,24,0,3,22,1,3,0,1,24,22,11.433035609020171,1.909481840030872,-0.7681650512785956,-0.8894184815045008,-1.5049844238928407,-0.41851489357247,0.0,0.0,0.41851489357247,3.8358818236425,0.81063571035634,4.64651753399884,1,0,5,0,2,0,2,0,6,4,9.77,4,4,8.17
48,2,812faed1-8918-4862-b21d-3e2812503062,24,0,3,23,1,3,0,1,24,23,18.7207069791326,4.788250568696096,-0.7285945971505969,-3.396227105266939,-3.2957753065206976,-0.41851489357247,0.0,0.0,0.41851489357247,3.8141338768899,2.6370808139511,6.451214690841,1,0,5,0,2,0,3,0,6,4,9.77,5,4,9.062999999999999
49,2,7b9299bf-03a8-4488-b3c7-aa50a8b3907b,24,0,3,24,1,3,0,1,24,24,12.051615882669068,3.3550206742971027,-0.0187089243433812,-2.95833129428944,-1.5824315638720892,-0.41851489357247,0.0,0.0,0.41851489357247,3.8068256960154,3.8077545156451,7.6145802116605,1,0,5,0,1,0,5,0,6,4,9.77,6,4,9.77
50,2,52bb5b8e-77d9-46f9-8522-1a6e78aef9f0,24,0,3,25,1,3,0,1,24,25,4.7726717975845325,1.3560769198863478,-0.5253863766647037,0.5406362783261902,1.1272205562449544,-0.41851489357247,0.0,0.0,0.41851489357247,3.8014515576152,4.408412977974,8.2098645355892,1,0,5,0,2,0,5,0,6,4,9.77,7,4,10.34
51,2,c229ab93-2215-461c-81ba-381d6cc3e24e,24,0,3,28,1,3,0,1,24,28,-7.043477409761334,4.534115402364705,-0.3599508753041855,3.545578258057642,2.803125517224931,-0.41851489357247,0.0,0.0,0.41851489357247,3.7942800346026,0.89879728311437,4.69307731771697,1,0,5,0,2,0,8,0,6,4,9.77,10,4,11.13
52,2,a0630832-f260-4c22-bb9f-bb4da51886c7,24,0,3,30,1,3,0,1,24,30,0.0478039232925606,0.0117168990056306,-0.0045829095159582,-0.0098014685949937,-0.0044959844370326,-0.41851489357247,0.0,0.0,0.41851489357247,3.7949294839008,0.0063904158334314,3.801319899734232,1,0,5,0,2,0,1,0,6,4,9.77,12,4,9.395
53,2,5735199f-28a4-4777-a195-a16ab1f3dff0,24,0,3,29,1,3,0,1,24,29,0.0610463493911082,0.0126171566670639,-0.002565525704573,-0.011387845482679,-0.0047882873225232,-0.41851489357247,0.0,0.0,0.41851489357247,3.7845849953646,-0.0070663167412519,3.777518678623348,1,0,5,0,1,0,1,0,6,4,9.77,11,4,10.96
54,2,54d8197f-35de-43d1-95c2-1dda81bf4476,24,0,3,43,1,3,0,1,24,43,0.0792124792712996,2.968313007028616,0.7387331485112518,-2.874077901603406,0.0695101323612558,-0.41851489357247,0.0,0.0,0.41851489357247,3.8330987362288,2.2941473084568,6.1272460446856,1,0,5,0,2,0,5,0,6,4,9.77,7,5,8.94
55,2,0b357cf5-7325-414e-8ea7-28052d84fe7a,24,0,3,45,1,3,0,1,24,45,0.260876413066589,0.1003972828317274,-0.0063640663632968,-0.0726344289568128,-0.0690170470929837,-0.41851489357247,0.0,0.0,0.41851489357247,3.8049274842464,-0.015099944539156,3.789827539707244,1,0,5,0,1,0,8,0,6,4,9.77,9,5,9.259
56,2,e0bf2c25-24e4-4f46-a274-ca0aaac638cf,24,0,3,47,1,3,0,1,24,47,0.0165808029332501,0.0025070978649649,-0.0009341796499023,-0.0021865646813277,-0.0007948477719603,-0.41851489357247,0.0,0.0,0.41851489357247,3.7849125530823,-0.0029865985302706,3.781925954552029,1,0,5,0,1,0,1,0,6,4,9.77,11,5,11.05
57,2,1212fdf3-038e-44d9-8bbc-2f19e67c1a2a,24,0,3,48,1,3,0,1,24,48,0.0222263182466171,0.0060348290505977,-0.0017380061425849,-0.0049799045898181,-0.0029324131009433,-0.41851489357247,0.0,0.0,0.41851489357247,3.7962259827634,0.0043836574311253,3.8006096401945255,1,0,5,0,2,0,1,0,6,4,9.77,12,5,8.995
58,2,facb6f78-26bf-4be9-b4d6-725487a5056b,24,0,3,46,1,3,0,1,24,46,0.3604093985535486,0.2546660859710036,0.0231841371039815,-0.201467042219026,-0.1540400663140975,-0.41851489357247,0.0,0.0,0.41851489357247,3.7986941770187,-0.045126723497954,3.7535674535207457,1,0,5,0,0,0,1,0,6,4,9.77,10,5,9.402000000000001
59,2,57d5ff51-ac7d-460f-8ddf-08864517da82,25,0,3,22,1,3,0,1,25,22,7.741553961479608,2.067803340790364,-0.010676871461329,-1.7755762428087007,-1.0597290533777617,-0.41851489357247,0.0,0.0,0.41851489357247,4.4002260316392,0.75540378199375,5.15562981363295,2,0,5,0,2,0,2,0,7,4,10.34,4,4,8.17
60,2,37b4da18-4656-4fb8-8c62-59c9c4904dfd,25,0,3,23,1,3,0,1,25,23,8.759488908607823,2.686552251144982,0.4275848386147255,-2.4502698897466404,-1.0153382053877298,-0.41851489357247,0.0,0.0,0.41851489357247,4.3966901121313,2.6241156884835,7.0208058006148,2,0,5,0,2,0,3,0,7,4,10.34,5,4,9.062999999999999
61,2,2c4bf12d-0ad9-4713-8104-92539162b8c4,25,0,3,24,1,3,0,1,25,24,4.757808741268069,1.2082313962078672,0.3979963681829572,0.4764380154249394,1.0365465812753103,-0.41851489357247,0.0,0.0,0.41851489357247,4.4090548847449,3.8020303027756,8.2110851875205,2,0,5,0,1,0,5,0,7,4,10.34,6,4,9.77
62,2,f0adea50-987d-41b3-b336-a725748fb8b5,25,0,3,25,1,3,0,1,25,25,-2.4384724001381137,1.5655538337541497,-0.0326704520096485,0.7628735215338303,1.366717029267717,-0.41851489357247,0.0,0.0,0.41851489357247,4.4077120033775,4.4069905265371,8.8147025299146,2,0,5,0,2,0,5,0,7,4,10.34,7,4,10.34
63,2,b8abf8b1-5080-40fb-9d0d-a34add80fe88,25,0,3,28,1,3,0,1,25,28,-5.355611843955831,0.9581128399600972,-0.3795913085465083,0.779102847490799,0.4085209977517445,-0.41851489357247,0.0,0.0,0.41851489357247,4.4025188647517,0.9025465904984,5.3050654552501,2,0,5,0,2,0,8,0,7,4,10.34,10,4,11.13
64,2,2a4ee5de-0aaf-4454-b1b9-2951b6687eba,25,0,3,30,1,3,0,1,25,30,0.0359358856829406,0.0014688403162259,-0.0011686173253188,-0.000858334130684,-0.0002347082053063,-0.41851489357247,0.0,0.0,0.41851489357247,4.4028320664633,0.0043358248159855,4.407167891279285,2,0,5,0,2,0,1,0,7,4,10.34,12,4,9.395
65,2,a675a3ca-2c63-4c53-837e-e39543184c5a,25,0,3,29,1,3,0,1,25,29,0.0360258975705074,0.0057560741407358,-0.0009911202138533,0.0041533076053021,0.003860065565645,-0.41851489357247,0.0,0.0,0.41851489357247,4.3929229383454,-0.0018809601779104,4.39104197816749,2,0,5,0,1,0,1,0,7,4,10.34,11,4,10.96
66,2,ac32481c-f90b-4e04-9b74-7f330cd6fdfc,25,0,3,43,1,3,0,1,25,43,-12.883929112338004,4.115789764099548,0.9817904450095932,2.5762448257729664,3.0559410174335,-0.41851489357247,0.0,0.0,0.41851489357247,4.4234774397273,2.3312676334556,6.7547450731829,2,0,5,0,2,0,5,0,7,4,10.34,7,5,8.94
67,2,a42176c1-1ba2-4442-969e-193957be482a,25,0,3,45,1,3,0,1,25,45,0.0922487969011944,0.0304230233393034,0.0007312512944207,0.0257172564659327,0.0162372516305454,-0.41851489357247,0.0,0.0,0.41851489357247,4.4068503088831,0.003658390480239,4.410508699363339,2,0,5,0,1,0,8,0,7,4,10.34,9,5,9.259
68,2,f6c5a3fa-d345-41bf-b4b4-626adc30c859,25,0,3,47,1,3,0,1,25,47,0.0133542435492351,0.0007724561959178,-0.0005269389931203,0.0001083456209589,0.000554333021351,-0.41851489357247,0.0,0.0,0.41851489357247,4.393537202902,0.0001340565900322,4.393671259492033,2,0,5,0,1,0,1,0,7,4,10.34,11,5,11.05
69,2,c3bbac01-0dfc-404a-a2b7-b197c112752f,25,0,3,48,1,3,0,1,25,48,0.0225806108257508,0.0010025531843607,-0.0006326891069995,-0.0006770744057456,-0.0003826063648713,-0.41851489357247,0.0,0.0,0.41851489357247,4.4039251487276,0.0036480087756292,4.407573157503229,2,0,5,0,2,0,1,0,7,4,10.34,12,5,8.995
70,2,2f5997c3-7099-49e3-80ac-00fd4f69933b,25,0,3,46,1,3,0,1,25,46,0.1708148795670958,0.0132275217106086,0.0104663051109833,-0.0037380842819601,-0.0071729013536636,-0.41851489357247,0.0,0.0,0.41851489357247,4.4028008794513,-0.018626110341646,4.384174769109654,2,0,5,0,0,0,1,0,7,4,10.34,10,5,9.402000000000001
71,2,8dcc4fb0-f814-409f-8620-ebb9fb7afaa0,21,0,3,23,1,3,0,1,21,23,0.0559183137669694,0.0234760255582948,0.0001105446680783,-0.0162753017460495,-0.0169182182562203,-0.41851489357247,0.0,0.0,0.41851489357247,0.0034550789422992,2.6463804975817,2.649835576523999,2,0,1,0,2,0,3,0,3,4,7.042000000000001,5,4,9.062999999999999
72,2,3e24e714-a802-4143-bfb1-ddb5c1dd3e68,21,0,3,24,1,3,0,1,21,24,0.0385184705984401,0.0259150636106644,0.0001342031409986,-0.0202105816103866,-0.0162205086983002,-0.41851489357247,0.0,0.0,0.41851489357247,0.0041317258591829,3.8150133486922,3.819145074551383,2,0,1,0,1,0,5,0,3,4,7.042000000000001,6,4,9.77
