imp0,offset0,ilayer0,imp1,offset1,ilayer1,i,j,Z_i,Z_j,J,D,Dx,Dy,Dz,rx,ry,rz,r,mom1,mom2,tot_mom
21,0,3,29,1,3,0,1,21,29,-3.1634472664274947e-21,5.524786934900645e-22,-1.3094931057556119e-23,4.696151517293105e-22,2.907281183637783e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.1853520649227e-11,-1.6173729022739e-11,-5.8027249671966e-11
21,0,3,43,1,3,0,1,21,43,0.17616525203460284,0.04848467636951874,-0.002554989857591645,-0.03717334004408243,-0.031022228473331664,-0.41851489357247,0.0,0.0,0.41851489357247,0.011610017961136,2.2659547038946,2.277564721855736
21,0,3,44,1,3,0,1,21,44,0.004606414291796738,0.0013653280566293157,-0.00018800549738068835,-0.0011960973221297848,-0.000630972131847185,-0.41851489357247,0.0,0.0,0.41851489357247,0.0012136855899314,0.31255364135443,0.3137673269443614
21,0,3,45,1,3,0,1,21,45,-8.024096626171915e-21,2.960683162634493e-21,-2.6564789024947248e-21,-1.2434631774777842e-21,-4.0319220771817853e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2613024220373e-11,1.9763390923799e-10,1.55020885017617e-10
21,0,3,47,1,3,0,1,21,47,-2.3430003736792523e-21,2.001478185009502e-22,5.719470799503296e-23,1.5793773197531228e-22,1.0882824746611807e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.1668335448719e-11,-2.3326229836584e-11,-6.4994565285303e-11
21,0,3,48,1,3,0,1,21,48,-3.175959270709765e-21,1.1659101308739346e-21,-1.2639749778883318e-23,9.33270748628706e-22,6.987076497033771e-22,-0.41851489357247,0.0,0.0,0.41851489357247,-4.2267078725899e-11,-3.8564706983379e-11,-8.0831785709278e-11
21,0,3,46,1,3,0,1,21,46,-1.3216087875163576e-20,7.063122450396718e-21,-1.47393746803295e-21,5.2889931718881164e-21,4.44316985015739e-21,-0.41851489357247,0.0,0.0,0.41851489357247,-4.0185299532425e-11,5.1618265217712e-11,1.1432965685286999e-11
22,0,3,21,1,3,0,1,22,21,0.01242492453471966,0.0031143511146700855,0.0003536133455367342,-0.0021459158809076385,-0.002229166996744191,-0.41851489357247,0.0,0.0,0.41851489357247,0.81729303144706,-1.7431188143124e-05,0.8172756002589169
22,0,3,22,1,3,0,1,22,22,6.292520824358476,0.4846956901402322,0.031464472384329124,0.3593651837634737,-0.3237229737240417,-0.41851489357247,0.0,0.0,0.41851489357247,0.86082745753425,0.85958734157815,1.7204147991124001
22,0,3,23,1,3,0,1,22,23,6.729236771390435,0.7762114456998862,0.23571712880012113,-0.015015968712280513,-0.7394025725606899,-0.41851489357247,0.0,0.0,0.41851489357247,0.77928016788978,2.6561152897379,3.4353954576276804
22,0,3,24,1,3,0,1,22,24,10.869088802862974,1.9048262985482025,0.8152098628400433,-0.8047647733384793,-1.5218901953697679,-0.41851489357247,0.0,0.0,0.41851489357247,0.80889530722808,3.8350486582087,4.64394396543678
22,0,3,25,1,3,0,1,22,25,7.932879208452441,2.1048104949333672,-0.026377819728552132,-1.7795178626628718,-1.1237649250051271,-0.41851489357247,0.0,0.0,0.41851489357247,0.75750216385117,4.3995672412496,5.15706940510077
22,0,3,28,1,3,0,1,22,28,1.8891209690582793,1.1356982362459593,-0.3587586551294345,-1.0477303464910888,-0.25172173569949347,-0.41851489357247,0.0,0.0,0.41851489357247,0.68760085198305,0.88352497868985,1.5711258306729001
22,0,3,30,1,3,0,1,22,30,0.008877268661725283,0.0013290250114519023,-0.0006219997892342496,-0.001030500977386455,-0.0005634638221419712,-0.41851489357247,0.0,0.0,0.41851489357247,0.71500868597634,0.0016351968306827,0.7166438828070227
22,0,3,39,1,3,0,1,22,39,0.006194581108381902,0.0018941027582595796,0.00010861750163112639,-0.0015255106725784225,-0.001117427709086941,-0.41851489357247,0.0,0.0,0.41851489357247,0.82043376531596,-0.0012086467285417,0.8192251185874183
